120 240
1 :7.15231788079470210  240 :3.75316629535813462  
162 :3.76995147556993304  401 :9.70366527298806680  160 :6.92159794915616278  
163 :6.92617572557756311  402 :6.79586169011505437  161 :7.96075319681386784  
164 :5.86993011261330011  403 :1.75420392468031872  162 :8.79451887569811142  
165 :8.00256355479598369  404 :1.16428113650929288  163 :9.00448622089297146  
166 :9.45951719718008910  405 :3.31369975890377511  164 :9.66124454481643191  
167 :1.17954039124729149  406 :7.06595049897762983  165 :6.70857875301370310  
168 :4.99252296517838090  407 :6.15649891659291360  166 :6.66280098879970684  
169 :2.01147495956297506  408 :3.77574999237037279  167 :4.81185338908047733  
170 :8.43623157444990390  409 :5.21164586321604073  168 :3.40067751091036730  
171 :3.90575884273812068  410 :0.31403546250801112  169 :2.90017395550401336  
172 :7.96533097323526729  411 :4.52925199133274337  170 :3.87127292703024395  
173 :0.80782494582964570  412 :3.91460921048616006  171 :1.43284401989806809  
174 :7.59605700857570110  413 :0.25116733298745691  172 :1.95287942136906034  
175 :3.54441969054231398  414 :6.58528397473067439  173 :5.30167546617023255  
176 :6.78548539689321561  415 :0.99215674306466872  174 :2.72408215582750923  
177 :8.48933378093813928  416 :1.25461592455824467  175 :8.94375438703573700  
178 :4.42152165288247279  417 :7.85637989440595685  176 :6.43574327829828796  
179 :3.57341227454451138  418 :9.95391705069124377  177 :3.16782128360850868  
180 :4.24848170415356918  419 :0.47425763725699638  178 :3.48735007782219908  
181 :4.09741508224738293  420 :4.15417950987273787  179 :0.81789605395672471  
182 :7.83898434400463895  421 :8.19666127506332565  180 :0.49531540879543445  
183 :5.58702352977080619  422 :3.03506576738792067  181 :1.46244697408978541  
184 :2.04199346903897228  423 :3.18155461287270747  182 :4.73860896633808437  
185 :9.31699575792718271  424 :0.30945768608661151  183 :0.72115237891781370  
186 :1.59550767540513316  425 :0.80385753959776607  184 :8.20703756828516440  
187 :4.34827723014007983  426 :5.57634205145420658  185 :3.82885219885860772  
188 :5.57908871730704714  427 :8.84731589709158683  186 :4.36170537430951910  
189 :4.23932615131077029  428 :3.20871608630634464  187 :1.89519943845942573  
190 :9.84710226752525486  429 :6.56910916470839545  188 :1.83477278969695123  
191 :3.25266273995178068  430 :1.81951353495895263  189 :9.25443281350138847  
192 :7.75566881313516632  431 :4.20728171636097326  190 :0.87466048158207954  
193 :2.13476973784600377  432 :1.57292397839289522  191 :7.58445997497482249  
194 :9.63347270119327348  433 :9.05301065095980739  192 :1.64830469679860836  
195 :3.63872188482314529  434 :6.32129886776329819  193 :3.36252937406537056  
196 :8.82351145970030792  435 :2.13415936765648384  194 :9.77629932554093983  
197 :9.16043580431531801  436 :3.97625659962767397  195 :5.93005157628101465  
198 :9.94232001709036517  437 :6.05365153965880332  196 :4.97054963835566266  
199 :6.38142033143101273  438 :2.91390728476821170  197 :0.27375102999969481  
200 :4.56221198156682028  439 :5.87054048280282004  198 :4.59669789727469702  
201 :9.95178075502792403  440 :5.82476271858882377  199 :7.77886288033692441  
202 :2.03863643299661224  441 :7.36381115146336285  200 :6.65791802728354742  
203 :9.21231727042451176  442 :6.50502029480880140  201 :5.96697897274697109  
204 :9.94079409161656535  443 :6.79372539445173462  202 :7.35007782219916361  
205 :5.02639851069673771  444 :0.88961455122531818  203 :0.83437604907376328  
206 :0.75441755424665058  445 :9.65666676839503246  204 :8.18964201788384649  
207 :8.19666127506332565  446 :2.38837855159154033  205 :9.08444471572008361  
208 :0.45319986571855830  447 :9.15860469374675823  206 :8.06024353770561852  
209 :0.94729453413495290  448 :4.57808160649433837  207 :8.59950560014648957  
210 :1.41880550553910956  449 :4.43891720328379158  208 :7.55912961210974466  
211 :6.80990020447401356  450 :2.76955473494674509  209 :0.11474959562974944  
212 :8.31965086825159439  451 :0.24567400128177741  210 :8.06299020355845819  
213 :9.17111728263191672  452 :1.12765892513809618  211 :7.53471480452894671  
214 :2.12347788933988468  453 :0.00823999755851924  212 :7.15353862117374195  
215 :1.04922635578478340  454 :5.18143253883480348  213 :4.89333780938139018  
216 :5.73595385601367269  455 :9.36124759666737916  214 :6.76198614459669756  
217 :4.52955717642750333  456 :1.91686758018738357  215 :0.88259529404583881  
218 :6.00726340525528713  457 :3.35154271065401144  216 :1.81035798211615351  
219 :4.01593066194647097  458 :2.48146000549333179  217 :3.35612048707541133  
220 :2.36335337382122246  459 :4.11694692831202147  218 :6.52912991729483938  
221 :9.27610095522934586  460 :7.07480086672566877  219 :2.58735923337504214  
222 :3.24533829767754156  461 :2.92062135685293134  220 :4.23444318979461087  
223 :8.41059602649006699  462 :9.12350840784936068  221 :9.48332163457136801  
224 :9.24344615009002979  463 :7.43858149967955562  222 :5.43900875881221957  
225 :3.63658558915982555  464 :7.57957701345866308  223 :9.74822229682302321  
226 :7.43675038911099584  465 :8.22687459944456378  224 :9.96826075014496205  
227 :0.37293618579668569  466 :3.37870418408764905  225 :3.37443159276100957  
228 :6.32587664418469764  467 :3.73027741325113693  226 :2.51991332743308805  
229 :8.80092776268807064  468 :0.03234962004455703  227 :7.04824976348155197  
230 :6.07043671987060129  469 :7.18863490707113861  228 :9.10000915555284351  
231 :3.11197241126743362  470 :0.20996734519486068  229 :1.38920255134739223  
232 :5.79729606006042708  471 :7.63878292184209684  230 :5.21561326944792025  
233 :3.29325235755485712  472 :1.29581591235084082  231 :1.59123508407849368  
234 :9.76348155156102138  473 :7.16940824610126004  232 :6.89626758629108583  
235 :3.75102999969481488  474 :4.47065645313882865  233 :5.29129917294839291  
236 :8.39838862269966668  475 :3.84990997039704563  234 :3.73760185552537605  
237 :8.66176335947752385  476 :5.18112735374004352  235 :1.58818323313089382  
238 :9.95361186559648381  477 :0.64668721579638055  236 :0.54994354075746943  
239 :1.83996093630787083  478 :9.12656025879696031  237 :6.33259071626941772  
479 :4.91683706167790735  238 :1.36295663319803451  
241 :2.00292977690969565  480 :5.41581469161046147  0 :8.37427900021362959  
242 :7.32566301461836566  481 :9.73998229926450421  240 :1.44505142368846706  1 :4.22711874752037087  
243 :2.96212652974028767  482 :8.18506424146244704  241 :5.21988586077455974  2 :0.04394665364543596  
244 :0.67018646809289839  483 :9.83916745506149404  242 :5.16220587786492491  3 :7.78984954374828309  
245 :7.86095767082735719  484 :7.55119479964598561  243 :2.47474593340861215  4 :9.60295419171727715  
246 :5.87633899960325934  485 :9.01852473525192977  244 :3.89568773461104145  5 :0.78127384258552812  
247 :7.28598895229956955  486 :6.14673299356059477  245 :9.86510818811609269  6 :6.53492843409527868  
248 :1.87383648182622764  487 :8.33857234412671211  246 :0.91006195257423628  7 :4.07330545976134495  
249 :6.63106173894466977  488 :3.76781517990661330  247 :0.07171849726859340  8 :6.58558915982543436  
250 :0.06103701895199438  489 :7.70836512344737113  248 :4.17279580065309652  9 :0.67720572527237766  
251 :6.11957152012695715  490 :1.97027497177037869  249 :1.74962614825891905  10 :3.83068330942716750  
252 :8.09076204718161485  491 :4.51857051301614465  250 :0.45594653157139803  11 :3.44004638813440344  
253 :7.71996215704824973  492 :3.32560197759941412  251 :1.75206762901699875  12 :3.99853511154515218  
254 :9.91210669270912881  493 :3.52519302957243585  252 :5.68956572161015650  13 :3.98785363322855302  
255 :8.30866420484023571  494 :1.93121127964110229  253 :3.60911893063142797  14 :9.03927732169560905  
256 :2.05755790887173085  495 :7.98120059816278538  254 :1.55949583422345661  15 :2.92458876308481086  
257 :9.08474990081484357  496 :5.16647846919156439  255 :2.25257118442335269  16 :2.94473097933896888  
258 :6.18396557512131118  497 :2.01818903164769425  256 :8.36329233680227091  17 :1.27353740043336283  
259 :1.23386333811456650  498 :6.70064394054994317  257 :4.99404889065218072  18 :8.82015442365794833  
260 :7.85943174535355737  499 :4.28327280495620588  258 :4.10840174565874161  19 :3.17545091097750776  
261 :7.84234138004699854  500 :0.75167088839381080  259 :8.75118259224219486  20 :7.20267342143009692  
262 :1.60374767296365239  501 :2.81746879482406065  260 :9.86571855830561262  21 :9.83306375316629477  
263 :2.06091494491409044  502 :7.59331034272286143  261 :3.52244636371959574  22 :5.63341166417432149  
264 :2.17810602130191944  503 :1.19113742484817031  262 :1.36936552018799396  23 :4.70503860591448753  
265 :1.51982177190466028  504 :0.31250953703421125  263 :2.11676381725516505  24 :9.47660756248664882  
266 :2.12195196386608487  505 :5.88549455244605824  264 :6.87093722342600799  25 :9.95361186559648381  
267 :8.99136326181829304  506 :2.81838435010834054  265 :6.12781151768547616  26 :3.98968474379711280  
268 :5.54460280159916952  507 :4.92660298471022706  266 :1.23844111453596617  27 :4.13769951475569897  
269 :9.30478835413678418  508 :9.09939878536332358  267 :8.16125980407116991  28 :7.64580217902157688  
270 :8.16156498916592987  509 :7.76696066164128585  268 :6.30909146397289966  29 :1.16031373027741336  
271 :2.51045258949552919  510 :3.73027741325113693  269 :0.31037324137089145  30 :6.70094912564470313  
272 :3.58592486342966987  511 :6.41895809808648909  270 :7.49046296578875115  31 :0.46205023346659752  
273 :3.29416791283913701  512 :3.63231299783318562  271 :8.88607440412610217  32 :1.01626636555070649  
274 :5.86687826166570048  513 :7.83776360362559910  272 :6.61244544816431201  33 :8.46797082430494008  
275 :6.64021729178746867  514 :1.07760856959746087  273 :5.38743247779778400  34 :1.12887966551713603  
276 :8.27784051026947765  515 :7.55424665059358524  274 :1.02847376934110546  35 :1.27994628742332228  
277 :9.74639118625446343  516 :7.95098727378154813  275 :3.73485518967253638  36 :6.57032990508743531  
278 :8.35657826471755172  517 :4.55702383495590091  276 :8.96786400952177409  37 :8.62727744376964623  
279 :0.18677327799310281  518 :1.25339518417920459  277 :3.74156926175725557  38 :5.43748283333841975  
280 :9.19339579454939404  519 :7.42606891079439713  278 :1.13559373760185545  39 :9.05636768700216699  
281 :0.32807397686696982  520 :9.86449781792657276  279 :0.84292123172704247  40 :5.21408734397412044  
282 :6.97103793450727860  521 :1.71483504745628212  280 :8.56654560991241176  41 :6.37928403576769298  
283 :7.99188207647938498  522 :2.54554887539292585  281 :2.07251197851496949  42 :4.83993041779839483  
284 :4.75325785088656261  523 :8.58485671559800956  282 :6.72322763756218134  43 :7.36869411297952226  
285 :3.36832789086581030  524 :7.20145268105105707  283 :8.28730124820703828  44 :8.03125095370342201  
286 :2.52357554857020805  525 :4.68459120456556910  284 :5.85222937711722135  45 :0.70223090304269542  
287 :2.18207342753379940  526 :1.38584551530503242  285 :2.64595477156895642  46 :7.85149693288979744  
288 :3.47575304422132003  527 :3.28745384075441738  286 :7.58171330912198282  47 :7.15933713797418125  
289 :5.10483108005005004  528 :4.06018250068666653  287 :5.33524582659382940  48 :2.53059480574968720  
290 :6.55079805902279766  529 :6.67043061616870592  288 :7.77428510391552496  49 :1.06357005523850212  
291 :3.41959898678548546  530 :8.60133671071504935  289 :4.54481643116550149  50 :2.53700369273964643  
292 :5.22690511795403889  531 :9.74913785210730310  290 :5.62974944303720193  51 :2.98196356089968573  
293 :0.93539231543931389  532 :7.05862605670339072  291 :3.69579149754326020  52 :8.89675588244270088  
294 :2.56019775994140453  533 :4.95895260475478405  292 :9.03500473036896956  53 :3.66771446882534269  
295 :2.15124973296304223  534 :5.66301461836603881  293 :4.91714224677266731  54 :2.76345103305154582  
296 :2.47047334208197267  535 :8.39045381023590764  294 :6.16626483962523242  55 :9.25595873897518828  
297 :6.66920987578966606  536 :1.58360545670949437  295 :8.77040925321207254  56 :6.24011963255714619  
298 :7.28385265663624981  537 :7.16940824610126004  296 :3.34055604724265276  57 :7.70867030854213109  
299 :9.85961485641041335  538 :0.93661305581835386  297 :0.22827845088045901  58 :4.44746238593707055  
300 :1.51799066133610028  539 :8.09076204718161485  298 :9.11770989104892138  59 :6.51173436689352059  
301 :9.77446821497238005  540 :8.04223761711478069  299 :0.90060121463667719  60 :8.84670552690206691  
302 :1.92510757774590280  541 :7.50175481429486979  300 :4.65132602923673222  61 :1.61778618732261115  
303 :0.31159398174993136  542 :5.93279824213385432  301 :7.51029999694814876  62 :1.80700094607379369  
304 :3.77788628803369253  543 :2.43476668599505608  302 :0.29023102511673332  63 :7.64397106845301710  
305 :0.62959685048982206  544 :8.11090426343577420  303 :6.62007507553331109  64 :2.42866298409985637  
306 :3.41074861903744608  545 :2.98928800317392485  304 :8.43134861293374449  65 :9.31516464735862293  
307 :0.81026642658772541  546 :1.55613879818109679  305 :5.61021759697256428  66 :3.61064485610522778  
308 :7.00766014587847508  547 :5.96545304727317127  306 :2.61909848323007921  67 :4.16058839686269710  
309 :3.77391888180181301  548 :0.98483230079042938  307 :9.90386669515060802  68 :0.37354655598620562  
310 :5.64043092135380064  549 :9.74669637134922340  308 :2.89895321512497350  69 :6.45893734550004606  
311 :3.44309823908200308  550 :4.35621204260383887  309 :6.44337290566728704  70 :9.42808313241981288  
312 :6.56056398205511648  551 :0.43214209418012023  310 :7.41782891323587723  71 :2.43293557542649630  
313 :9.15646839808343849  552 :9.63072603534043381  311 :3.41776787621692568  72 :9.99572740867336051  
314 :0.73549607837153230  553 :9.22086245307779251  312 :0.27558214056825464  73 :6.69576097903378376  
315 :6.33289590136417768  554 :2.77687917722098465  313 :6.23981444746238623  74 :5.87908566545609901  
316 :6.63960692159794874  555 :1.04190191351054406  314 :5.62883388775292204  75 :9.94537186803796480  
317 :3.38602862636188862  556 :7.03207495345927303  315 :9.77050080874050053  76 :8.78322702719199278  
318 :0.29084139530625325  557 :4.44044312875759140  316 :8.03827021088290117  77 :7.91039765617847213  
319 :4.88753929258094999  558 :3.40647602771080660  317 :6.79708243049409511  78 :2.88430433057649482  
320 :1.54332102420117812  559 :2.70790734580523074  318 :9.07406842249824486  79 :1.54515213476973789  
321 :0.98208563493758960  560 :2.44392223883785498  319 :2.76009399700918623  80 :0.65187536240730004  
322 :6.62373729667043065  561 :6.26667073580126388  320 :0.16510513626514481  81 :8.47621082186346086  
323 :3.05063020722067924  562 :7.22830896938993472  321 :6.72872096926786067  82 :9.91668446913052826  
324 :6.92007202368236296  563 :6.30115665150914062  322 :1.70354319895016326  83 :5.69414349803155595  
325 :5.62456129642628255  564 :7.64061403241065662  323 :8.62788781395916615  84 :2.19244972075563815  
326 :4.02325510422071009  565 :9.64262825403607238  324 :8.39167455061494749  85 :3.50383007293923754  
327 :4.55030976287118172  566 :5.86901455732902022  325 :2.71462141788995037  86 :2.24738303781243332  
328 :1.01413006988738674  567 :4.89913632618182948  326 :0.84719382305368207  87 :0.71596423230689410  
329 :1.40263069551683106  568 :3.16507461775566901  327 :7.30552079836420809  88 :8.92208624530777961  
330 :0.00274666585283975  569 :9.84252449110385363  328 :3.45408490249336220  89 :1.09408856471449933  
331 :4.14990691854609839  570 :7.85180211798455741  329 :0.75136570329905084  90 :7.20053712576677718  
332 :5.91845454268013516  571 :0.03662221137119663  330 :8.46339304788354063  91 :1.04861598559526348  
333 :4.06628620258186579  572 :4.58082827234717893  331 :3.66618854335154287  92 :1.53202917569505903  
334 :6.54713583788567810  573 :8.72371593371379817  332 :6.34479812005981625  93 :8.58424634540848963  
335 :8.89828180791650070  574 :4.84206671346171458  333 :7.40165410321359918  94 :0.39979247413556324  
336 :8.82290108951078800  575 :7.95525986510818850  334 :2.38868373668630030  95 :3.49253822443311890  
337 :2.27576525162511079  576 :8.72005371257667861  335 :8.77498702963347199  96 :2.14178899502548292  
338 :1.36417737357707458  577 :0.97537156285287030  336 :9.55870235297708071  97 :8.80031739249855072  
339 :9.37894833216345702  578 :7.90185247352519315  337 :1.04434339426862399  98 :2.02063051240577396  
340 :3.26548051393169958  579 :5.85406048768578113  338 :7.59025849177526180  99 :3.46201971495712169  
341 :8.85097811822870639  580 :9.93530075991088601  339 :1.13742484817041545  100 :0.54445020905178987  
342 :9.13449507126071936  581 :0.36866359447004610  340 :8.34528641621143308  101 :6.30726035340433988  
343 :0.96102786339915158  582 :3.73638111514633620  341 :3.12570574053163242  102 :3.03811761833552030  
344 :0.38178655354472485  583 :8.13867610705893085  342 :7.41203039643543793  103 :1.23447370830408643  
